kegg	kegg_ncbi	lastmajorreleaseaccession	similarity	assemblystatus	g	lineage	status
WCI	GCA_000750535.1	GCF_000750535.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	OK
WCT	GCA_000750515.1	GCF_000750515.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	OK
WCE	GCA_000732905.1	GCF_000732905.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	OK
WKO	GCA_000219805.1	GCF_000219805.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Weissella	OK
OEN	GCA_004010835.2	GCF_004010835.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Oenococcus; unclassified Oenococcus	OK
OSI	GCA_004102045.2	GCF_004102045.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Oenococcus	OK
OOE	GCA_000014385.1	GCF_000014385.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Oenococcus	OK
LEC	GCA_000219785.1	GCF_000219785.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; unclassified Leuconostoc	OK
LPSE	GCA_008033175.1	GCF_008033175.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LGC	GCA_001998805.1	GCF_001998805.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LSU	GCA_001891125.1	GCF_001891125.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LLF	GCA_001698145.1	GCF_001698145.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LMK	GCA_000512955.1	GCF_000512955.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LCN	GCA_000300135.1	GCF_000300135.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LGE	GCA_000298875.1	GCF_000298875.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LMM	GCA_000234825.3	GCF_000234825.3	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LGS	GCA_000196855.1	GCF_000196855.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LKI	GCA_000092505.1	GCF_000092505.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LCI	GCA_000026405.1	GCF_000026405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
LME	GCA_000014445.1	GCF_000014445.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc	OK
PACI	GCA_001767275.1	GCF_001767275.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus; Pediococcus acidilactici group	OK
PIO	GCA_002982135.1	GCF_002982135.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus	OK
PDM	GCA_001611135.1	GCF_001611135.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus	OK
PPEN	GCA_000496265.1	GCF_000496265.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus	OK
PCE	GCA_000237995.2	GCF_000237995.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus	OK
PPE	GCA_000014505.1	GCF_000014505.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus	OK
LAW	GCA_000761135.1	GCF_000761135.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; unclassified Lactobacillus	OK
LBN	GCA_000298115.2	GCF_000298115.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus buchneri subsp. silagei	OK
LZY	GCA_900183405.1	GCF_900183405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LACA	GCA_900116935.1	GCF_900116935.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LDX	GCA_008831385.1	GCF_008831385.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LJI	GCA_004359375.1	GCF_004359375.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPW	GCA_003584685.1	GCF_003584685.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LBM	GCA_003522965.1	GCF_003522965.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LKL	GCA_003151025.1	GCF_003151025.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LNG	GCA_002850055.1	GCF_002850055.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHW	GCA_002850035.1	GCF_002850035.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPG	GCA_002850015.1	GCF_002850015.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LALI	GCA_002849895.1	GCF_002849895.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LFM	GCA_002706745.1	GCF_002706745.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCY	GCA_002706705.1	GCF_002706705.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAGL	GCA_002240375.1	GCF_002240375.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAMY	GCA_002075105.1	GCF_002075105.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LALW	GCA_001971585.1	GCF_001971585.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCT	GCA_001951175.1	GCF_001951175.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAH	GCA_001936335.1	GCF_001936335.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LJE	GCA_001936235.1	GCF_001936235.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPAR	GCA_001922025.1	GCF_001922025.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPD	GCA_001702175.1	GCF_001702175.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LLE	GCA_001702135.1	GCF_001702135.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCV	GCA_001663835.1	GCF_001663835.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LBT	GCA_001663655.1	GCF_001663655.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPX	GCA_001443645.1	GCF_001443645.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LKU	GCA_001314945.1	GCF_001314945.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LGN	GCA_001050475.1	GCF_001050475.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LKO	GCA_001050435.1	GCF_001050435.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAE	GCA_001042405.1	GCF_001042405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHD	GCA_000961015.1	GCF_000961015.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAF	GCA_000934625.1	GCF_000934625.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPB	GCA_000931425.2	GCF_000931425.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHI	GCA_000831645.3	GCF_000831645.3	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHO	GCA_000829395.1	GCF_000829395.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPAP	GCA_000829035.1	GCF_000829035.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCU	GCA_000785105.2	GCF_000785105.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LSJ	GCA_000758365.1	GCF_000758365.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPQ	GCA_000582665.1	GCF_000582665.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHH	GCA_000525715.1	GCF_000525715.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LJN	GCA_000498675.1	GCF_000498675.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRR	GCA_000439275.1	GCF_000439275.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHV	GCA_000422165.1	GCF_000422165.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCL	GCA_000418515.1	GCF_000418515.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRC	GCA_000418495.1	GCF_000418495.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRO	GCA_000418475.1	GCF_000418475.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPZ	GCA_000412205.1	GCF_000412205.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRT	GCA_000410995.1	GCF_000410995.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LFF	GCA_000397165.1	GCF_000397165.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAD	GCA_000389675.2	GCF_000389675.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LBK	GCA_000359625.1	GCF_000359625.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPT	GCA_000338115.2	GCF_000338115.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCW	GCA_000318035.1	GCF_000318035.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCX	GCA_000309565.2	GCF_000309565.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LMU	GCA_000248095.3	GCF_000248095.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRA	GCA_000233755.1	GCF_000233755.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LSN	GCA_000225325.1	GCF_000225325.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRM	GCA_000224985.1	GCF_000224985.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LKE	GCA_000214785.1	GCF_000214785.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LBH	GCA_000211375.1	GCF_000211375.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LFR	GCA_000210515.1	GCF_000210515.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LJH	GCA_000204985.1	GCF_000204985.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPL	GCF_000203855.3	GCF_000203855.3	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCE	GCA_000194785.1	GCF_000194785.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCS	GCA_000194765.1	GCF_000194765.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAY	GCA_000194115.1	GCF_000194115.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAI	GCA_000191545.1	GCF_000191545.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LDL	GCA_000191165.1	GCF_000191165.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHL	GCA_000189515.1	GCF_000189515.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LDE	GCA_000182835.1	GCF_000182835.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHR	GCA_000165775.3	GCF_000165775.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRU	GCA_000159455.2	GCF_000159455.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPI	GCA_000155515.2	GCF_000155515.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPS	GCA_000148815.2	GCF_000148815.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LSI	GCA_000143435.1	GCF_000143435.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LJF	GCA_000091405.1	GCF_000091405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LDB	GCA_000056065.1	GCF_000056065.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRL	GCA_000026525.1	GCF_000026525.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRH	GCA_000026505.1	GCF_000026505.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCB	GCA_000026485.1	GCF_000026485.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LSA	GCA_000026065.1	GCF_000026065.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LPJ	GCA_000023085.1	GCF_000023085.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCZ	GCA_000019245.3	GCF_000019245.4	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRE	GCA_000016825.1	GCF_000016825.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LHE	GCA_000015385.1	GCF_000015385.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LCA	GCF_000014525.1	GCF_000014525.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LBR	GCA_000014465.1	GCF_000014465.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LGA	GCA_000014425.1	GCF_000014425.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LBU	GCA_000014405.1	GCF_000014405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LAC	GCF_000011985.1	GCF_000011985.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRG	GCA_000011045.1	GCF_000011045.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LFE	GCA_000010145.1	GCF_000010145.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LRF	GCA_000010005.1	GCF_000010005.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LSL	GCF_000008925.1	GCF_000008925.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
LJO	GCA_000008065.1	GCF_000008065.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus	OK
VAO	GCA_005145005.1	GCF_005145005.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus; unclassified Vagococcus	OK
VAC	GCA_004792515.1	GCF_004792515.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus; unclassified Vagococcus	OK
VPI	GCA_001998885.1	GCF_001998885.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus	OK
VTE	GCA_001870205.1	GCF_001870205.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Vagococcus	OK
TEY	GCA_009720125.1	GCF_009720125.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus	OK
TKR	GCA_003795145.1	GCF_003795145.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus	OK
TOO	GCA_003795125.1	GCF_003795125.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus	OK
THL	GCA_000283615.1	GCF_000283615.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Tetragenococcus	OK
MPX	GCA_000283975.1	GCF_000283975.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Melissococcus	OK
ESG	GCA_011397115.1	GCF_011397115.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EAV	GCA_005347505.1	GCF_005347505.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EGV	GCA_003343305.1	GCF_003343305.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
ETH	GCA_002290025.1	GCF_002290025.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EGA	GCA_001558875.2	GCF_001558875.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EDU	GCA_001267865.1	GCF_001267865.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFQ	GCA_000742975.1	GCF_000742975.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFT	GCA_000737555.1	GCF_000737555.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFN	GCA_000550745.1	GCF_000550745.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EMU	GCA_000504125.1	GCF_000504125.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFAU	GCA_000444405.1	GCF_000444405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFM	GCA_000336405.1	GCF_000336405.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFS	GCA_000317915.1	GCF_000317915.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFD	GCA_000281195.1	GCF_000281195.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EHR	GCA_000271405.2	GCF_000271405.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFC	GCA_000250945.1	GCF_000250945.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFU	GCF_000174395.2	GCF_000174395.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFI	GCA_000172575.2	GCF_000172575.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
ECAS	GCA_000157355.2	GCF_000157355.2	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
EFA	GCF_000007785.1	GCF_000007785.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	OK
MARR	GCA_001895285.1	GCF_001895285.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Marinilactibacillus; unclassified Marinilactibacillus	OK
JEP	GCA_001975685.1	GCF_001975685.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca; unclassified Jeotgalibaca	OK
JPO	GCA_011299095.1	GCF_011299095.1	identical	Complete Genome	Lactobacillales	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Jeotgalibaca	OK
